etykieta_semantyczna,original_symbol,original_name
id_uczestnika,UID,Unique ID
waga_próby,Waga,Waga
obszar_realizacji,Real,REALIZACJA
segment_uczestnika,Seg,Segment
lokalizacja_płeć,GminaPlec,"Gmina / Płeć (na podst. S4/S5A/S5B/S1)"
płeć,S1,"S1. Z jaką płcią się identyfikujesz?"
grupa_wiekowa,rrS2,"S2. W którym roku się urodziłeś(aś)?"
województwo,S3,"S3. W jakim województwie Pan(i) mieszka?"
miasto,S4,"S4. W jakim mieście lub powiecie Pan(i) mieszka?"
gmina,S5A,"S5A. W jakiej gminie Pan(i) mieszka?"
dzielnica_katowic,S5B,"S5B. W jakiej dzielnicy Katowic Pan(i) mieszka?"
wolny_czas_praktyczność,A1_1,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Jest użyteczny / praktyczny"
wolny_czas_duma,A1_2,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Pozwala poczuć się dumnym z tego, kim jestem"
wolny_czas_rękodzieło,A1_3,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Daje możliwość stworzenia czegoś własnymi rękoma"
wolny_czas_radość,A1_4,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Daje dużo radości"
wolny_czas_rodzina,A1_5,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Pozwala mi spędzić czas z rodziną"
wolny_czas_potrzeby_bliskich,A1_6,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Przede wszystkim zaspokaja potrzeby moich bliskich"
wolny_czas_zakupy,A1_7,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Dodatkowo umożliwia zrobienie zakupów"
wolny_czas_nowość,A1_8,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Jest zupełną nowością"
wolny_czas_samopoznanie,A1_9,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Pozwala mi lepiej zrozumieć kim jestem"
wolny_czas_praktyczność_top2,T2B_A1_1,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Jest użyteczny / praktyczny (Top 2 Box)"
wolny_czas_duma_top2,T2B_A1_2,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Pozwala poczuć się dumnym (Top 2 Box)"
wolny_czas_rękodzieło_top2,T2B_A1_3,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Daje możliwość stworzenia czegoś (Top 2 Box)"
wolny_czas_radość_top2,T2B_A1_4,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Daje dużo radości (Top 2 Box)"
wolny_czas_rodzina_top2,T2B_A1_5,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Pozwala spędzić czas z rodziną (Top 2 Box)"
wolny_czas_potrzeby_bliskich_top2,T2B_A1_6,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Zaspokaja potrzeby bliskich (Top 2 Box)"
wolny_czas_zakupy_top2,T2B_A1_7,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Umożliwia zrobienie zakupów (Top 2 Box)"
wolny_czas_nowość_top2,T2B_A1_8,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Jest zupełną nowością (Top 2 Box)"
wolny_czas_samopoznanie_top2,T2B_A1_9,"A1. Jaki jest najlepszy sposób spędzania wolnego czasu?: Pozwala zrozumieć kim jestem (Top 2 Box)"
częstotliwość_galeria_sztuki,A2_1,"A2. Kiedy po raz ostatni był(a) Pan(i) w galerii sztuki / na wystawie sztuki"
częstotliwość_teatr,A2_2,"A2. Kiedy po raz ostatni był(a) Pan(i) w teatrze / na przedstawieniu teatralnym / operowym"
częstotliwość_prasa_kulturalna,A2_3,"A2. Kiedy po raz ostatni czytał(a) Pan(i) prasę / czasopisma poświęcone kulturze"
częstotliwość_nagrania_teatralne,A2_4,"A2. Kiedy po raz ostatni oglądał(a) Pan(i) nagrania sztuk teatralnych, oper, baletów"
częstotliwość_programy_kulturalne,A2_5,"A2. Kiedy po raz ostatni oglądał(a) Pan(i) programy / kanały kulturalne"
częstotliwość_wykłady,A2_6,"A2. Kiedy po raz ostatni brał(a) Pan(i) udział w wykładzie, odczycie, dyskusji"
częstotliwość_wydarzenia_literackie,A2_7,"A2. Kiedy po raz ostatni brał(a) Pan(i) udział w wydarzeniu literackim"
częstotliwość_archiwa,A2_8,"A2. Kiedy po raz ostatni korzystał(a) Pan(i) z archiwum instytucji kulturalnej"
częstotliwość_czytanie_książek,A2_9,"A2. Kiedy po raz ostatni czytał(a) Pan(i) książki dla przyjemności"
częstotliwość_muzeum,A2_10,"A2. Kiedy po raz ostatni był(a) Pan(i) w muzeum"
częstotliwość_zoo,A2_11,"A2. Kiedy po raz ostatni był(a) Pan(i) w ogrodzie zoologicznym / botanicznym"
częstotliwość_piknik,A2_12,"A2. Kiedy po raz ostatni brał(a) Pan(i) udział w pikniku / imprezie plenerowej"
częstotliwość_festyn,A2_13,"A2. Kiedy po raz ostatni był(a) Pan(i) na festynie, jarmarku, imprezie folklorystycznej"
częstotliwość_koncert,A2_14,"A2. Kiedy po raz ostatni był(a) Pan(i) na koncercie / festiwalu muzycznym"
częstotliwość_kino,A2_15,"A2. Kiedy po raz ostatni był(a) Pan(i) w kinie / festiwalu filmowym"
częstotliwość_dom_kultury,A2_16,"A2. Kiedy po raz ostatni był(a) Pan(i) w centrum kultury, domu kultury"
częstotliwość_rekonstrukcja_historyczna,A2_17,"A2. Kiedy po raz ostatni uczestniczył(a) Pan(i) w rekonstrukcji historycznej"
częstotliwość_filharmonia,A2_18,"A2. Kiedy po raz ostatni był(a) Pan(i) w filharmonii / sali koncertowej"
znajomość_metropolii_gzm,P1,"P1. Czy spotkałeś(aś) się z określeniem Górnośląsko-Zagłębiowska Metropolia?"
definicja_kultury_tekst,P2_TXT,"P2. Różni ludzie w rozmaity sposób określają to, co należy do pojęcia kultury"
definicja_kultury_kategoria,P2_TXT_1,"P2. Różni ludzie w rozmaity sposób określają to, co należy do pojęcia kultury (kategorie)"
definicja_kultury_tekst2,P2_TXT_2,P2_TXT_2
definicja_kultury_tekst3,P2_TXT_3,P2_TXT_3
kultura_fotografia,P3_1,"P3. Czy zaliczył(a)by Pan(i) do kultury: Fotografia"
kultura_gotowanie,P3_2,"P3. Czy zaliczył(a)by Pan(i) do kultury: Gotowanie"
kultura_gry_komputerowe,P3_3,"P3. Czy zaliczył(a)by Pan(i) do kultury: Gry komputerowe"
kultura_moda,P3_4,"P3. Czy zaliczył(a)by Pan(i) do kultury: Moda"
kultura_moralność,P3_5,"P3. Czy zaliczył(a)by Pan(i) do kultury: Moralność"
kultura_muzyka_rozrywkowa,P3_6,"P3. Czy zaliczył(a)by Pan(i) do kultury: Muzyka rozrywkowa"
kultura_patriotyzm,P3_7,"P3. Czy zaliczył(a)by Pan(i) do kultury: Patriotyzm"
kultura_pornografia,P3_8,"P3. Czy zaliczył(a)by Pan(i) do kultury: Pornografia"
kultura_telewizja,P3_9,"P3. Czy zaliczył(a)by Pan(i) do kultury: Programy telewizyjne"
kultura_religia,P3_10,"P3. Czy zaliczył(a)by Pan(i) do kultury: Religia"
kultura_taniec,P3_11,"P3. Czy zaliczył(a)by Pan(i) do kultury: Taniec"
kultura_sposób_zwracania_się,P3_12,"P3. Czy zaliczył(a)by Pan(i) do kultury: To, jak się do siebie zwracamy"
kultura_traktowanie_narodów,P3_13,"P3. Czy zaliczył(a)by Pan(i) do kultury: To, jak traktujemy inne narody"
kultura_urządzanie_mieszkania,P3_14,"P3. Czy zaliczył(a)by Pan(i) do kultury: To, jak urządzamy mieszkanie"
kultura_tradycja,P3_15,"P3. Czy zaliczył(a)by Pan(i) do kultury: Tradycja"
kultura_umiejętność_rozmowy,P3_16,"P3. Czy zaliczył(a)by Pan(i) do kultury: Umiejętność rozmawiania z innymi"
kultura_ogrodnictwo,P3_17,"P3. Czy zaliczył(a)by Pan(i) do kultury: Uprawianie ogrodu"
kultura_malarstwo,P3_18,"P3. Czy zaliczył(a)by Pan(i) do kultury: Malarstwo"
kultura_muzyka_poważna,P3_19,"P3. Czy zaliczył(a)by Pan(i) do kultury: Muzyka poważna"
kultura_kino,P3_20,"P3. Czy zaliczył(a)by Pan(i) do kultury: Kino"
istotność_uczestnictwa_w_kulturze,P4,"P4. Na ile dla Pana(i) osobiście istotne jest uczestnictwo w kulturze"
istotność_uczestnictwa_w_kulturze_top3,T3B_P4,"P4. Na ile dla Pana(i) osobiście istotne jest uczestnictwo w kulturze (Top 3 Box)"
ocena_dostępu_do_kultury_gzm,P5,"P5. Jak ocenił(a)by Pan(i) dostęp do kultury na terenie Metropolii GZM"
ocena_dostępu_do_kultury_gzm_top3,T3B_P5,"P5. Jak ocenił(a)by Pan(i) dostęp do kultury na terenie Metropolii GZM (Top 3 Box)"
bariera_wysokie_ceny,rP6_1,"Bariera: wysokie ceny / koszty korzystania"
bariera_dojazd,rP6_2,"Bariera: problemy z dojazdem / komunikacją"
bariera_nieatrakcyjna_oferta,rP6_3,"Bariera: mało atrakcyjna oferta tematyczna"
bariera_brak_informacji,rP6_4,"Bariera: niewystarczająca ilość informacji o ofercie"
bariera_dostęp_fizyczny,rP6_5,"Bariera: trudności z fizycznym dostępem / bariery architektoniczne"
bariera_godziny_otwarcia,rP6_6,"Bariera: mało dogodne godziny otwarcia instytucji"
bariera_brak_czasu,rP6_7,"Bariera: brak czasu / za dużo innych spraw na głowie"
bariera_opieka,rP6_8,"Bariera: opieka nad inną osobą/ osobą zależną"
bariera_niska_jakość,rP6_9,"Bariera: mało atrakcyjna jakościowa oferta"
bariera_dostępność_biletów,rP6_10,"Bariera: niska dostępność biletów/są szybko wykupywane"
bariera_brak_oferty_lokalnej,rP6_11,"Bariera: moja miejscowość nie ma żadnej oferty kulturalnej"
